Sort,FIPS,State,County,Latitude,Longitude
64,1127,AL,Walker,33.791571,-87.3011
65,1129,AL,Washington,31.406974,-88.2021
66,1131,AL,Wilcox,31.99033,-87.3022
67,1133,AL,Winston,34.155888,-87.3641
68,2013,AK,Aleutians East,55.243722,-161.9507
69,2016,AK,Aleutians West,51.959447,178.3388
70,2020,AK,Anchorage,61.177549,-149.2744
71,2050,AK,Bethel,60.928916,-160.1534
72,2060,AK,Bristol Bay,58.731373,-156.9866
73,2068,AK,Denali,63.682732,-150.0267
74,2070,AK,Dillingham,59.824816,-158.6022
75,2090,AK,Fairbanks North Star,64.690832,-146.5999
76,2100,AK,Haines,59.099905,-135.5781
77,2105,AK,Hoonah-Angoon,58.076434,-135.1851
78,2110,AK,Juneau,58.3727,-134.1788
